DATEHOUR,TIMESECS,"LOW STD, periodic data same every day except of last day, several hours high wait times, rest of the day low wait times"
8/27/2018 5:00,1817,
8/27/2018 6:00,1900,
8/27/2018 7:00,1798,
8/27/2018 8:00,2206,
8/27/2018 9:00,2189,
8/27/2018 10:00,1878,
8/27/2018 11:00,2298,
8/27/2018 12:00,1849,
8/27/2018 13:00,2002,
8/27/2018 14:00,2537,
8/27/2018 15:00,2550,
8/27/2018 16:00,2244,
8/27/2018 17:00,2136,
8/27/2018 18:00,2217,
8/27/2018 19:00,2524,
8/27/2018 20:00,2595,
8/27/2018 21:00,14935,
8/27/2018 22:00,7901,
8/27/2018 23:00,8837,
8/28/2018 0:00,14302,
8/28/2018 1:00,8355,
8/28/2018 2:00,1654,
8/28/2018 3:00,2776,
8/28/2018 4:00,1557,
8/28/2018 5:00,1817,
8/28/2018 6:00,1900,
8/28/2018 7:00,1798,
8/28/2018 8:00,2206,
8/28/2018 9:00,2189,
8/28/2018 10:00,1878,
8/28/2018 11:00,2298,
8/28/2018 12:00,1849,
8/28/2018 13:00,2002,
8/28/2018 14:00,2537,
8/28/2018 15:00,2550,
8/28/2018 16:00,2244,
8/28/2018 17:00,2136,
8/28/2018 18:00,2217,
8/28/2018 19:00,2524,
8/28/2018 20:00,2595,
8/28/2018 21:00,14935,
8/28/2018 22:00,7901,
8/28/2018 23:00,8837,
8/29/2018 0:00,14302,
8/29/2018 1:00,8355,
8/29/2018 2:00,1654,
8/29/2018 3:00,2776,
8/29/2018 4:00,1557,
8/29/2018 5:00,1817,
8/29/2018 6:00,1900,
8/29/2018 7:00,1798,
8/29/2018 8:00,2206,
8/29/2018 9:00,2189,
8/29/2018 10:00,1878,
8/29/2018 11:00,2298,
8/29/2018 12:00,1849,
8/29/2018 13:00,2002,
8/29/2018 14:00,2537,
8/29/2018 15:00,2550,
8/29/2018 16:00,2244,
8/29/2018 17:00,2136,
8/29/2018 18:00,2217,
8/29/2018 19:00,2524,
8/29/2018 20:00,2595,
8/29/2018 21:00,14935,
8/29/2018 22:00,7901,
8/29/2018 23:00,8837,
8/30/2018 0:00,14302,
8/30/2018 1:00,8355,
8/30/2018 2:00,1654,
8/30/2018 3:00,2776,
8/30/2018 4:00,1557,
8/30/2018 5:00,1817,
8/30/2018 6:00,1900,
8/30/2018 7:00,1798,
8/30/2018 8:00,2206,
8/30/2018 9:00,2189,
8/30/2018 10:00,1878,
8/30/2018 11:00,2298,
8/30/2018 12:00,1849,
8/30/2018 13:00,2002,
8/30/2018 14:00,2537,
8/30/2018 15:00,2550,
8/30/2018 16:00,2244,
8/30/2018 17:00,2136,
8/30/2018 18:00,2217,
8/30/2018 19:00,2524,
8/30/2018 20:00,2595,
8/30/2018 21:00,14935,
8/30/2018 22:00,7901,
8/30/2018 23:00,8837,
8/31/2018 0:00,14302,
8/31/2018 1:00,8355,
8/31/2018 2:00,1654,
8/31/2018 3:00,2776,
8/31/2018 4:00,1557,
8/31/2018 5:00,1817,
8/31/2018 6:00,1900,
8/31/2018 7:00,1798,
8/31/2018 8:00,2206,
8/31/2018 9:00,2189,
8/31/2018 10:00,1878,
8/31/2018 11:00,2298,
8/31/2018 12:00,1849,
8/31/2018 13:00,2002,
8/31/2018 14:00,2537,
8/31/2018 15:00,2550,
8/31/2018 16:00,2244,
8/31/2018 17:00,2136,
8/31/2018 18:00,2217,
8/31/2018 19:00,2524,
8/31/2018 20:00,2595,
8/31/2018 21:00,14935,
8/31/2018 22:00,7901,
8/31/2018 23:00,8837,
9/1/2018 0:00,14302,
9/1/2018 1:00,8355,
9/1/2018 2:00,1654,
9/1/2018 3:00,2776,
9/1/2018 4:00,1557,
9/1/2018 5:00,1817,
9/1/2018 6:00,1900,
9/1/2018 7:00,1798,
9/1/2018 8:00,2206,
9/1/2018 9:00,2189,
9/1/2018 10:00,1878,
9/1/2018 11:00,2298,
9/1/2018 12:00,1849,
9/1/2018 13:00,2002,
9/1/2018 14:00,2537,
9/1/2018 15:00,2550,
9/1/2018 16:00,2244,
9/1/2018 17:00,2136,
9/1/2018 18:00,2217,
9/1/2018 19:00,2524,
9/1/2018 20:00,2595,
9/1/2018 21:00,14935,
9/1/2018 22:00,7901,
9/1/2018 23:00,8837,
9/2/2018 0:00,14302,
9/2/2018 1:00,8355,
9/2/2018 2:00,1654,
9/2/2018 3:00,2776,
9/2/2018 4:00,1557,
9/2/2018 5:00,1817,
9/2/2018 6:00,1900,
9/2/2018 7:00,1798,
9/2/2018 8:00,2206,
9/2/2018 9:00,2189,
9/2/2018 10:00,1878,
9/2/2018 11:00,2298,
9/2/2018 12:00,1849,
9/2/2018 13:00,2002,
9/2/2018 14:00,2537,
9/2/2018 15:00,2550,
9/2/2018 16:00,2244,
9/2/2018 17:00,2136,
9/2/2018 18:00,2217,
9/2/2018 19:00,2524,
9/2/2018 20:00,2595,
9/2/2018 21:00,14935,
9/2/2018 22:00,7901,
9/2/2018 23:00,8837,
9/3/2018 0:00,14302,
9/3/2018 1:00,8355,
9/3/2018 2:00,1654,
9/3/2018 3:00,2776,
9/3/2018 4:00,1557,
9/3/2018 5:00,1817,
9/3/2018 6:00,1900,
9/3/2018 7:00,1798,
9/3/2018 8:00,2206,
9/3/2018 9:00,2189,
9/3/2018 10:00,1878,
9/3/2018 11:00,2298,
9/3/2018 12:00,1849,
9/3/2018 13:00,2002,
9/3/2018 14:00,2537,
9/3/2018 15:00,2550,
9/3/2018 16:00,2244,
9/3/2018 17:00,2136,
9/3/2018 18:00,2217,
9/3/2018 19:00,2524,
9/3/2018 20:00,2595,
9/3/2018 21:00,14935,
9/3/2018 22:00,7901,
9/3/2018 23:00,8837,
9/4/2018 0:00,14302,
9/4/2018 1:00,8355,
9/4/2018 2:00,1654,
9/4/2018 3:00,2776,
9/4/2018 4:00,1557,
9/4/2018 5:00,1817,
9/4/2018 6:00,1900,
9/4/2018 7:00,1798,
9/4/2018 8:00,2206,
9/4/2018 9:00,2189,
9/4/2018 10:00,1878,
9/4/2018 11:00,2298,
9/4/2018 12:00,1849,
9/4/2018 13:00,2002,
9/4/2018 14:00,2537,
9/4/2018 15:00,2550,
9/4/2018 16:00,2244,
9/4/2018 17:00,2136,
9/4/2018 18:00,2217,
9/4/2018 19:00,2524,
9/4/2018 20:00,2595,
9/4/2018 21:00,14935,
9/4/2018 22:00,7901,
9/4/2018 23:00,8837,
9/5/2018 0:00,14302,
9/5/2018 1:00,8355,
9/5/2018 2:00,1654,
9/5/2018 3:00,2776,
9/5/2018 4:00,1557,
9/5/2018 5:00,1817,
9/5/2018 6:00,1900,
9/5/2018 7:00,1798,
9/5/2018 8:00,2206,
9/5/2018 9:00,2189,
9/5/2018 10:00,1878,
9/5/2018 11:00,2298,
9/5/2018 12:00,1849,
9/5/2018 13:00,2002,
9/5/2018 14:00,2537,
9/5/2018 15:00,2550,
9/5/2018 16:00,2244,
9/5/2018 17:00,2136,
9/5/2018 18:00,2217,
9/5/2018 19:00,2524,
9/5/2018 20:00,2595,
9/5/2018 21:00,14935,
9/5/2018 22:00,7901,
9/5/2018 23:00,8837,
9/6/2018 0:00,14302,
9/6/2018 1:00,8355,
9/6/2018 2:00,1654,
9/6/2018 3:00,2776,
9/6/2018 4:00,1557,
9/6/2018 5:00,1817,
9/6/2018 6:00,1900,
9/6/2018 7:00,1798,
9/6/2018 8:00,2206,
9/6/2018 9:00,2189,
9/6/2018 10:00,1878,
9/6/2018 11:00,2298,
9/6/2018 12:00,1849,
9/6/2018 13:00,2002,
9/6/2018 14:00,2537,
9/6/2018 15:00,2550,
9/6/2018 16:00,2244,
9/6/2018 17:00,2136,
9/6/2018 18:00,2217,
9/6/2018 19:00,2524,
9/6/2018 20:00,2595,
9/6/2018 21:00,14935,
9/6/2018 22:00,7901,
9/6/2018 23:00,8837,
9/7/2018 0:00,14302,
9/7/2018 1:00,8355,
9/7/2018 2:00,1654,
9/7/2018 3:00,2776,
9/7/2018 4:00,1557,
9/7/2018 5:00,1817,
9/7/2018 6:00,1900,
9/7/2018 7:00,1798,
9/7/2018 8:00,2206,
9/7/2018 9:00,2189,
9/7/2018 10:00,1878,
9/7/2018 11:00,2298,
9/7/2018 12:00,1849,
9/7/2018 13:00,2002,
9/7/2018 14:00,2537,
9/7/2018 15:00,2550,
9/7/2018 16:00,2244,
9/7/2018 17:00,2136,
9/7/2018 18:00,2217,
9/7/2018 19:00,2524,
9/7/2018 20:00,2595,
9/7/2018 21:00,14935,
9/7/2018 22:00,7901,
9/7/2018 23:00,8837,
9/8/2018 0:00,14302,
9/8/2018 1:00,8355,
9/8/2018 2:00,1654,
9/8/2018 3:00,2776,
9/8/2018 4:00,1557,
9/8/2018 5:00,1817,
9/8/2018 6:00,1900,
9/8/2018 7:00,1798,
9/8/2018 8:00,2206,
9/8/2018 9:00,2189,
9/8/2018 10:00,1878,
9/8/2018 11:00,2298,
9/8/2018 12:00,1849,
9/8/2018 13:00,2002,
9/8/2018 14:00,2537,
9/8/2018 15:00,2550,
9/8/2018 16:00,2244,
9/8/2018 17:00,2136,
9/8/2018 18:00,2217,
9/8/2018 19:00,2524,
9/8/2018 20:00,2595,
9/8/2018 21:00,14935,
9/8/2018 22:00,7901,
9/8/2018 23:00,8837,
9/9/2018 0:00,14302,
9/9/2018 1:00,8355,
9/9/2018 2:00,1654,
9/9/2018 3:00,2776,
9/9/2018 4:00,1557,
9/9/2018 5:00,1817,
9/9/2018 6:00,1900,
9/9/2018 7:00,1798,
9/9/2018 8:00,2206,
9/9/2018 9:00,2189,
9/9/2018 10:00,1878,
9/9/2018 11:00,2298,
9/9/2018 12:00,1849,
9/9/2018 13:00,2002,
9/9/2018 14:00,2537,
9/9/2018 15:00,2550,
9/9/2018 16:00,2244,
9/9/2018 17:00,2136,
9/9/2018 18:00,2217,
9/9/2018 19:00,2524,
9/9/2018 20:00,2595,
9/9/2018 21:00,14935,
9/9/2018 22:00,7901,
9/9/2018 23:00,8837,
9/10/2018 0:00,14302,
9/10/2018 1:00,8355,
9/10/2018 2:00,1654,
9/10/2018 3:00,2776,
9/10/2018 4:00,1557,
9/10/2018 5:00,1817,
9/10/2018 6:00,1900,
9/10/2018 7:00,1798,
9/10/2018 8:00,2206,
9/10/2018 9:00,2189,
9/10/2018 10:00,1878,
9/10/2018 11:00,2298,
9/10/2018 12:00,1849,
9/10/2018 13:00,2002,
9/10/2018 14:00,2537,
9/10/2018 15:00,2550,
9/10/2018 16:00,2244,
9/10/2018 17:00,2136,
9/10/2018 18:00,2217,
9/10/2018 19:00,2524,
9/10/2018 20:00,2595,
9/10/2018 21:00,14935,
9/10/2018 22:00,7901,
9/10/2018 23:00,8837,
9/11/2018 0:00,14302,
9/11/2018 1:00,8355,
9/11/2018 2:00,1654,
9/11/2018 3:00,2776,
9/11/2018 4:00,1557,
9/11/2018 5:00,1817,
9/11/2018 6:00,1900,
9/11/2018 7:00,1798,
9/11/2018 8:00,2206,
9/11/2018 9:00,2189,
9/11/2018 10:00,1878,
9/11/2018 11:00,2298,
9/11/2018 12:00,1849,
9/11/2018 13:00,2002,
9/11/2018 14:00,2537,
9/11/2018 15:00,2550,
9/11/2018 16:00,2244,
9/11/2018 17:00,2136,
9/11/2018 18:00,2217,
9/11/2018 19:00,2524,
9/11/2018 20:00,2595,
9/11/2018 21:00,14935,
9/11/2018 22:00,7901,
9/11/2018 23:00,8837,
9/12/2018 0:00,14302,
9/12/2018 1:00,8355,
9/12/2018 2:00,1654,
9/12/2018 3:00,2776,
9/12/2018 4:00,1557,
9/12/2018 5:00,1817,
9/12/2018 6:00,1900,
9/12/2018 7:00,1798,
9/12/2018 8:00,2206,
9/12/2018 9:00,2189,
9/12/2018 10:00,1878,
9/12/2018 11:00,2298,
9/12/2018 12:00,1849,
9/12/2018 13:00,2002,
9/12/2018 14:00,2537,
9/12/2018 15:00,2550,
9/12/2018 16:00,2244,
9/12/2018 17:00,2136,
9/12/2018 18:00,2217,
9/12/2018 19:00,2524,
9/12/2018 20:00,2595,
9/12/2018 21:00,14935,
9/12/2018 22:00,7901,
9/12/2018 23:00,8837,
9/13/2018 0:00,14302,
9/13/2018 1:00,8355,
9/13/2018 2:00,1654,
9/13/2018 3:00,2776,
9/13/2018 4:00,1557,
9/13/2018 5:00,1817,
9/13/2018 6:00,1900,
9/13/2018 7:00,1798,
9/13/2018 8:00,2206,
9/13/2018 9:00,2189,
9/13/2018 10:00,1878,
9/13/2018 11:00,2298,
9/13/2018 12:00,1849,
9/13/2018 13:00,2002,
9/13/2018 14:00,2537,
9/13/2018 15:00,2550,
9/13/2018 16:00,2244,
9/13/2018 17:00,2136,
9/13/2018 18:00,2217,
9/13/2018 19:00,2524,
9/13/2018 20:00,2595,
9/13/2018 21:00,14935,
9/13/2018 22:00,7901,
9/13/2018 23:00,8837,
9/14/2018 0:00,14302,
9/14/2018 1:00,8355,
9/14/2018 2:00,1654,
9/14/2018 3:00,2776,
9/14/2018 4:00,1557,
9/14/2018 5:00,1817,
9/14/2018 6:00,1900,
9/14/2018 7:00,1798,
9/14/2018 8:00,2206,
9/14/2018 9:00,2189,
9/14/2018 10:00,1878,
9/14/2018 11:00,2298,
9/14/2018 12:00,1849,
9/14/2018 13:00,2002,
9/14/2018 14:00,2537,
9/14/2018 15:00,2550,
9/14/2018 16:00,2244,
9/14/2018 17:00,2136,
9/14/2018 18:00,2217,
9/14/2018 19:00,2524,
9/14/2018 20:00,2595,
9/14/2018 21:00,14935,
9/14/2018 22:00,7901,
9/14/2018 23:00,8837,
9/15/2018 0:00,14302,
9/15/2018 1:00,8355,
9/15/2018 2:00,1654,
9/15/2018 3:00,2776,
9/15/2018 4:00,1557,
9/15/2018 5:00,1817,
9/15/2018 6:00,1900,
9/15/2018 7:00,1798,
9/15/2018 8:00,2206,
9/15/2018 9:00,2189,
9/15/2018 10:00,1878,
9/15/2018 11:00,2298,
9/15/2018 12:00,1849,
9/15/2018 13:00,2002,
9/15/2018 14:00,2537,
9/15/2018 15:00,2550,
9/15/2018 16:00,2244,
9/15/2018 17:00,2136,
9/15/2018 18:00,2217,
9/15/2018 19:00,2524,
9/15/2018 20:00,2595,
9/15/2018 21:00,14935,
9/15/2018 22:00,7901,
9/15/2018 23:00,8837,
9/16/2018 0:00,14302,
9/16/2018 1:00,8355,
9/16/2018 2:00,1654,
9/16/2018 3:00,2776,
9/16/2018 4:00,1557,
9/16/2018 5:00,1817,
9/16/2018 6:00,1900,
9/16/2018 7:00,1798,
9/16/2018 8:00,2206,
9/16/2018 9:00,2189,
9/16/2018 10:00,1878,
9/16/2018 11:00,2298,
9/16/2018 12:00,1849,
9/16/2018 13:00,2002,
9/16/2018 14:00,2537,
9/16/2018 15:00,2550,
9/16/2018 16:00,2244,
9/16/2018 17:00,2136,
9/16/2018 18:00,2217,
9/16/2018 19:00,2524,
9/16/2018 20:00,2595,
9/16/2018 21:00,14935,
9/16/2018 22:00,7901,
9/16/2018 23:00,8837,
9/17/2018 0:00,14302,
9/17/2018 1:00,8355,
9/17/2018 2:00,1654,
9/17/2018 3:00,2776,
9/17/2018 4:00,1557,
9/17/2018 5:00,1817,
9/17/2018 6:00,1900,
9/17/2018 7:00,1798,
9/17/2018 8:00,2206,
9/17/2018 9:00,2189,
9/17/2018 10:00,1878,
9/17/2018 11:00,2298,
9/17/2018 12:00,1849,
9/17/2018 13:00,2002,
9/17/2018 14:00,2537,
9/17/2018 15:00,2550,
9/17/2018 16:00,2244,
9/17/2018 17:00,2136,
9/17/2018 18:00,2217,
9/17/2018 19:00,2524,
9/17/2018 20:00,2595,
9/17/2018 21:00,14935,
9/17/2018 22:00,7901,
9/17/2018 23:00,8837,
9/18/2018 0:00,14302,
9/18/2018 1:00,8355,
9/18/2018 2:00,1654,
9/18/2018 3:00,2776,
9/18/2018 4:00,1557,
9/18/2018 5:00,1817,
9/18/2018 6:00,1900,
9/18/2018 7:00,1798,
9/18/2018 8:00,2206,
9/18/2018 9:00,2189,
9/18/2018 10:00,1878,
9/18/2018 11:00,2298,
9/18/2018 12:00,1849,
9/18/2018 13:00,2002,
9/18/2018 14:00,2537,
9/18/2018 15:00,2550,
9/18/2018 16:00,2244,
9/18/2018 17:00,2136,
9/18/2018 18:00,2217,
9/18/2018 19:00,2524,
9/18/2018 20:00,2595,
9/18/2018 21:00,14935,
9/18/2018 22:00,7901,
9/18/2018 23:00,8837,
9/19/2018 0:00,17302,"anomaly in large wait times (+ 3000, cca + 30 %)"
9/19/2018 1:00,8355,
9/19/2018 2:00,1654,
9/19/2018 3:00,2776,
9/19/2018 4:00,1557,
9/19/2018 5:00,1817,
9/19/2018 6:00,1900,
9/19/2018 7:00,1798,
9/19/2018 8:00,2867,"anomaly in low wait times (+ 600, cca + 30 %)"
9/19/2018 9:00,2189,
9/19/2018 10:00,1878,
9/19/2018 11:00,2298,
9/19/2018 12:00,1849,
9/19/2018 13:00,2002,
9/19/2018 14:00,2537,
9/19/2018 15:00,2550,
9/19/2018 16:00,2244,
9/19/2018 17:00,2136,
9/19/2018 18:00,2217,
9/19/2018 19:00,2524,
9/19/2018 20:00,2595,
9/19/2018 21:00,14935,
9/19/2018 22:00,7901,
9/19/2018 23:00,8837,
